#,Date,Report Name,Publisher,Tier,Category,Corrected_URL,Format
32,2025-12,Global Tech Report 2026,KPMG,1,Big4,https://kpmg.com/xx/en/our-insights/ai-and-technology/global-tech-report.html,Article+PDF
33,2026-01,Trusted AI Governance,KPMG,1,Big4,https://kpmg.com/us/en/capabilities-services/ai/trusted-ai.html,Article+PDF
34,2025-11,Global AI Study 2025,PwC,1,Big4,https://www.pwc.com/gx/en/issues/artificial-intelligence/global-ai-study.html,Article+PDF
35,2025-12,28th CEO Survey,PwC,1,Big4,https://www.pwc.com/gx/en/ceo-survey.html,Interactive+PDF
36,2026-01,AI Jobs Barometer,PwC,1,Big4,https://www.pwc.com/gx/en/issues/artificial-intelligence/ai-jobs-barometer.html,Article+PDF
38,2025-12,Faculty AI Acquisition,Accenture,2,IT Consulting,https://newsroom.accenture.com/news/2026/accenture-to-acquire-faculty,Press Release
40,2025-11,AI Perspectives 2026,Capgemini,2,IT Consulting,https://www.capgemini.com/insights/research-library/AI-perspectives-2026,Article+PDF
41,2025-12,AI-Powered Enterprise,Capgemini,2,IT Consulting,https://www.capgemini.com/insights/research-library/the-ai-powered-enterprise/,Article+PDF
43,2025-12,Business Trends 2026,IBM,2,IT Consulting,https://www.ibm.com/thought-leadership/institute-business-value/en-us/report/business-trends-2026,Article+PDF
44,2026-01,AI Ethics Governance,IBM,2,IT Consulting,https://www.ibm.com/think/insights/a-look-into-ibms-ai-ethics-governance-framework,Article
45,2025-11,Future-Ready Manufacturing,TCS,2,IT Consulting,https://www.tcs.com/what-we-do/industries/manufacturing/future-ready-manufacturing-study-2025,Article+PDF
49,2025-11,New Work New World 2026,Cognizant,2,IT Consulting,https://www.cognizant.com/us/en/aem-i/ai-and-the-future-of-work-report,Article+PDF
51,2025-11,Gemini 3.0,Google DeepMind,1,Big Tech,https://deepmind.google/models/gemini/,Landing
52,2025-12,AI Agent Trends 2026,Google Cloud,1,Big Tech,https://cloud.google.com/resources/content/ai-agent-trends-2026,Article+PDF
53,2026-01,AI Research Highlights 2025,Google DeepMind,1,Big Tech,https://deepmind.google/blog/googles-year-in-review-8-areas-with-research-breakthroughs-in-2025/,Article
55,2025-11,New Future of Work 2025,Microsoft Research,1,Big Tech,https://www.microsoft.com/en-us/research/wp-content/uploads/2025/12/New-Future-Of-Work-Report-2025.pdf,PDF
58,2025-11,re:Invent 2025 AI,Amazon AWS,1,Big Tech,https://aws.amazon.com/blogs/aws/top-announcements-of-aws-reinvent-2025/,Article
60,2026-01,Generative AI Use Cases,AWS,1,Big Tech,https://aws.amazon.com/generative-ai/use-cases/,Landing
63,2025-11,Blackwell Architecture,NVIDIA,1,Big Tech,https://www.nvidia.com/en-us/data-center/technologies/blackwell-architecture/,Landing
64,2025-12,AI Infrastructure 2025,NVIDIA,1,Big Tech,https://developer.nvidia.com/blog/ai-factories-physical-ai-and-advances-in-models-agents-and-infrastructure-that-shaped-2025/,Article
65,2026-01,Nemotron 3,NVIDIA,1,Big Tech,https://www.nvidia.com/en-us/ai-data-science/foundation-models/nemotron/,Landing
66,2025-11,Claude Opus 4.5,Anthropic,1,Big Tech,https://www.anthropic.com/claude,Landing
67,2025-12,AI Safety Research,Anthropic,1,Big Tech,https://alignment.anthropic.com/2025/sabotage-risk-report/,Article+PDF
68,2026-01,Economic Index Jan 2026,Anthropic,1,Big Tech,https://www.anthropic.com/research/anthropic-economic-index-january-2026-report,Article+PDF
69,2025-11,GPT-5 Introduction,OpenAI,1,Big Tech,https://openai.com/index/introducing-gpt-5/,Article
70,2025-12,State of Enterprise AI 2025,OpenAI,1,Big Tech,https://openai.com/index/the-state-of-enterprise-ai-2025-report/,Article+PDF
73,2026-01,Privacy-First AI,Apple,1,Big Tech,https://machinelearning.apple.com/research/neurips-2025,Article
74,2025-12,2026 Outlooks,Goldman Sachs,1,IB,https://www.goldmansachs.com/insights/outlooks/2026-outlooks,Landing+PDF
75,2025-11,GenAI Revenue Report,Morgan Stanley,1,IB,https://www.morganstanley.com/insights/articles/genai-revenue-growth-and-profitability,Article
76,2025-12,2026 Market Outlook,JPMorgan,1,IB,https://www.jpmorgan.com/insights/global-research/outlook/market-outlook,Article+PDF
77,2026-01,Year in Review 2025,Bank of America,1,IB,https://institute.bankofamerica.com/content/dam/economic-insights/2025-year-in-review.pdf,PDF
78,2025-12,AI Apex Technology,Citi,1,IB,https://www.citigroup.com/global/insights/ai-the-information-era-apex-technology,Article
83,2026-01,Big Ideas 2026,ARK Invest,1,VC,https://www.ark-invest.com/big-ideas-2026,Landing+PDF
84,2025-11,AI Agents Predictions,Gartner,1,Analyst,https://www.gartner.com/en/newsroom/press-releases/2025-11-18,Press Release
92,2025-11,ERNIE 5.0,Baidu,1,Big Tech (China),https://www.prnewswire.com/news-releases/baidu-unveils-ernie-5-0,Press Release
95,2025-09,AI Framework Act,METI Japan,2,Government,https://www.meti.go.jp/english/,Landing
96,2025-09,AI Action Plan,MSIT Korea,2,Government,https://www.msit.go.kr/eng/,Landing
97,2025-12,NAIS 2.0 Updates,IMDA Singapore,2,Government,https://www.imda.gov.sg/,Landing
98,2025-10,AI for Viksit Bharat,NITI Aayog India,2,Government,https://niti.gov.in/sites/default/files/2025-09/AI-for-Viksit-Bharat,PDF
100,Ongoing,AI Policy Observatory,OECD,1,Think Tank,https://oecd.ai/en/,Platform
101,2026-01,AI for Good 2026,UN/ITU,1,Think Tank,https://aiforgood.itu.int/,Landing+PDF
102,2026-01,10 Breakthrough Tech 2026,MIT Tech Review,1,Media,https://www.technologyreview.com/2026/01/12/1130697/10-breakthrough-technologies-2026/,Article
